iter	Passed	Remaining
1076	4982	1272
1077	4986	1267
1078	4993	1263
1079	4998	1258
1080	5003	1254
1081	5009	1249
1082	5013	1245
1083	5018	1240
1084	5023	1236
1085	5027	1231
1086	5032	1226
1087	5037	1222
1088	5042	1217
1089	5049	1213
1090	5054	1209
1091	5059	1204
1092	5068	1200
1093	5077	1197
1094	5097	1196
1095	5109	1193
1096	5116	1189
1097	5122	1185
1098	5132	1181
1099	5142	1178
1100	5152	1174
1101	5162	1171
1102	5170	1167
1103	5176	1162
1104	5181	1158
1105	5187	1153
1106	5196	1150
1107	5204	1146
1108	5210	1141
1109	5216	1137
1110	5223	1133
1111	5228	1128
1112	5235	1124
1113	5241	1119
1114	5246	1115
1115	5253	1111
1116	5259	1106
1117	5265	1102
1118	5271	1097
1119	5278	1093
1120	5284	1088
1121	5289	1084
1122	5302	1081
1123	5308	1076
1124	5316	1072
1125	5323	1068
1126	5333	1064
1127	5341	1060
1128	5348	1056
1129	5354	1052
1130	5361	1047
1131	5371	1043
1132	5377	1039
1133	5384	1035
1134	5390	1030
1135	5396	1026
1136	5403	1021
1137	5408	1017
1138	5413	1012
1139	5420	1008
1140	5425	1003
1141	5430	998
1142	5435	993
1143	5440	989
1144	5445	984
1145	5452	980
1146	5457	975
1147	5462	970
1148	5468	966
1149	5474	961
1150	5480	957
1151	5485	952
1152	5491	947
1153	5498	943
1154	5503	938
1155	5509	934
1156	5514	929
1157	5520	924
1158	5525	920
1159	5531	915
1160	5540	911
1161	5547	907
1162	5554	902
1163	5562	898
1164	5570	894
1165	5580	890
1166	5586	885
1167	5593	881
1168	5599	876
1169	5608	872
1170	5615	867
1171	5620	863
1172	5642	860
1173	5655	857
1174	5671	854
1175	5677	849
1176	5682	844
1177	5688	840
1178	5695	835
1179	5703	831
1180	5708	826
1181	5713	821
1182	5719	817
1183	5726	812
1184	5732	807
1185	5738	803
1186	5742	798
1187	5747	793
1188	5753	788
1189	5760	784
1190	5767	779
1191	5773	775
1192	5781	770
1193	5787	765
1194	5795	761
1195	5804	757
1196	5812	752
1197	5820	748
1198	5829	743
1199	5834	739
1200	5840	734
1201	5848	729
1202	5856	725
1203	5864	720
1204	5871	716
1205	5879	711
1206	5885	707
1207	5891	702
1208	5907	698
1209	5929	695
1210	5938	691
1211	5945	686
1212	5952	682
1213	5959	677
1214	5965	672
1215	5970	667
1216	5978	663
1217	5988	658
1218	5994	654
1219	6000	649
1220	6005	644
1221	6011	639
1222	6018	634
1223	6026	630
1224	6034	625
1225	6044	621
1226	6054	616
1227	6059	611
1228	6065	607
1229	6071	602
1230	6078	597
1231	6085	592
1232	6101	588
1233	6115	584
1234	6122	580
1235	6130	575
1236	6137	570
1237	6144	565
1238	6150	560
